sno,unit,qno,question,marks
1,1,1a,"Define Data structures and detail on its basic classification. For a web browser page navigation application, which is a suitable data structure? Justify your choice.",5
2,1,2a,"Assume a Singly Linked List (SLL) with 5 informative nodes. Using a function, illustrate how to count the number of nodes in the given SLL.",5
3,2,2b,A gaming application uses Circular Singly Linked List (CSLL) to store the players unique identification number (Type: integer). Is it possible to perform a search operation on the CSLL? Support your answer with a pictorial representation and logic for the same.,5
4,1,2c,Compare and contrast between the various dynamic memory allocation functions supported in C programming,5
5,1,3a,Hospital management software has a linear repository built on the concept of Singly Linked List. Construct the following software modules to support the working of the application. i) Insert an element at the front of the list. ii) Delete the given element from the list. iii) Display the complete SLL.,10
6,2,3b,"A server serves its customers at scheduled time slots in a round fashion similar to CSLL. Hence, apply the CSLL concept and implement the following operations to support proper working of the server: i) Insert an element after the given element in the list. ii) Delete an element present at the front end. iii) Display the contents of the CSLL.",10
7,1,4a,"Online bus ticket reservation counter requires to know the count of the available seats often. Therefore, SLL with header node best suits for the requirement. Make use of the SLL with header node concept learnt and write the implementation for the following choices: i) Insert an element at the given position. ii) Delete the given element from the list. iii) Display the SLL.",10
8,2,4b,"The Circular Escalators implemented using CSLL ensures safety of its customers with high priority. Using the basics of CSLL, write the C code snippets for: i) Inserting an element at the front end of the list. ii) Deleting an element from the rear end of the list. iii) Displaying CSLL with proper messages wherever required.",10
9,1,1a,Describe the various types of Linked Lists with appropriate examples for each.,5
10,1,2a,Explain the primary categories of Data Structures and differentiate Linear and Non-Linear structures with examples,5
11,1,2b,Classify the different types of Dynamic Memory Allocation with relevant examples.,5
12,2,2c,Convert the infix expression K+ LMN+ (O^P) W/U/VT+Q into postfix notation and outline each step involved in the process.,5
13,1,3a,"Amelia is developing a student management system to keep track of student information for a university. Each student is represented by a node in a singly linked list, containing the following details: student ID, name, age, and GPA. The task is to implement the following operations: i. Addition of new student details to the linked list. Ensure that cach new student is added to the end of the list. ii. Deleting a student detail based on their unique student ID. If the student ID is found in the list, remove that student node, and adjust the list accordingly.",10
14,3,1a,Define queue and elaborate the fundamental operations associated with it.,5
15,3,2a,"In a coffee shop, customers arrive to place their orders. Customer C1 arrives and gets in line, followed by C4 and. The first person at the front of the line is served and leaves the shop. Customer C5 arrives and joins the end of the line. C4 places their order and leaves the shop. At the end of the scenario, C6 arrives at the counter but has not yet been served.",5
16,3,2b,Write a recursive program to print the Fibonacci series upto 'n' terms.,5
17,4,2c,Elaborate Types of Binary tree with suitable example.,5
18,3,3a,Design and implement a double-ended queue with the following functions: i) To insertion at the rear. ii) To deletion from the front. Iii) To traversal of the list,10
19,4,3b,"Given a list of integers: 8, 3, 10, 1, 6, 14, 4, 7, 13, 2, 5, 9, 12, 8, construct a binary search tree (BST) using these integers as keys. Show the tree construction at each step.",10
20,1,1a,What is memory allocation? With suitable example explain static memory allocation technique with its drawback,7
21,1,1b,Explain the difference between linear and non-linear data structures with suitable examples,6
22,1,1c,Write a python code to add a node between the existing nodes in the singly linked list (SLL) and display the list.,7
23,1,2a,Discuss various types of dynamic memory allocation functions with suitable examples for each,7
24,1,2b,With a code snippet explain the process of adding a node at the end of a singly linked list and display the contents (SLL),7
25,1,2c,Define data structures. Differentiate primitive and non-primitive data structures with suitable examples,6
26,2,3a,"Deduce the contents of empty stack after the execution if the following operations in sequence: Push(6), Push(8), Push(-1), Pop(), Push(7), Pop(), Pop()",4
27,2,3b,Given the infix expression A+B*C/D-F+A^E convert it to postfix expression. Provide a clear explaination of each step involved in the conversion process.,8
28,2,3c,Elaborate the following operations performed on Doubly-Linked List(DLL) with a code snippet: i) Adding a node at the beginning of the linked list. ii) Deleting the node at the end of the linked list.,8
29,2,4a,Evaluate the postfix expression: 623+-382/+*2&3+. Show the contents of stack at each step.,7
30,2,4b,Write Pythob function to perform insertion of a node at front and deletion of a node from the rear end of a circular linked list,7
31,2,4c,Elaborate the steps required for converting infix to postfix expression,6
32,3,5a,Define queue and elaborate the fundamental operations associated with it.,6
33,3,5b,Write a recursive program to print the Fibonacci series upto 'n' terms.,6
34,3,5c,Provide a code snippet to perform the following operation on a circular queue. i) Enqueue. ii) Dequeue,8
35,3,6a,Write a simple recursive program to calculate the factorial of a non-negative number,6
36,3,6b,"In a coffee shop, customers arrive to place their orders. Customer C1 arrives and gets in line, followed by C4 and. The first person at the front of the line is served and leaves the shop. Customer C5 arrives and joins the end of the line. C4 places their",6
37,3,6c,Write a Python code to implement a dynamic queue using a singly linked list without a fixed size,8
38,4,7a,"Define binary search tree. Draw the BST for the following input: 14, 15, 4, 9, 7, 18, 3, 5, 16, 20, 17, 29, 21, 19, 2, 12, 27",10
39,4,7b,"Define Complex binary tree with an example. Provide a code snippet to traverse the tree using in-order, pre-order and post-order",10
40,4,8a,"What is the advantage if the threaded binary tree over binary tree? Construct double threaded binary tree for the following inputs: 10, 8, 7, 9, 15, 12 and 18",10
41,4,8b,"Given in-order and post-order traversals of a binary search tree, construct the binary search tree and perform pre-order traversal: In-order: 10, 30, 40, 50, 60, 70, 90. Post-order: 10, 40, 30, 60, 90, 70, 50",10
42,5,9a,Describe the concept of Red-Black Tree and outline its key properties. Highlight the importance of its balance and colour rules in preserving the tree's structure,5
43,5,9b,Explain the concept of a Splay Tree along with its rotations,5
44,5,9c,"Given the following set of numbers {63, 9, 19, 27, 18, 108, 99, 81} construct an AVL tree by inserting each number into the tree one by one.",5
45,5,10a,What is an AVL Tree? Describe its rotations and outline the advantages of AVL Trees over Binary Search Tree(BST),5
46,5,10b,"Construct a splay tree by inserting elements 16, 27, 9, 11, 36, 54, 81 and 63",10
47,5,10c,Describe the concepts of heights and balance factor of a node in an AVL tree by providing a simple example.,5
48,1,1a,Is it possible to use unstructured data in a structured programming environment? Explain.,5
49,1,1b,"Dynamic memory allocation functions allow the developers to handle memory more efficiently by requesting for it only when required. Using code snippets and syntaxes, elaborate on any 2 dynamic memory allocation functions and their applications in detail.",5
50,1,1c,Write a C program to implement a Singly Linked List (SLL) with a header node to perform the following basic operations: i) Insert at the front end. ii) Search for a key in the list. iii) Display the contents of the list,10
51,2,2a,"Using the diagrammatic representations and C coding sequence, explain how to perform the following operations on a Doubly Linked List (DLL): i) Insert an element after the given key element ii) Concatenate two DLLs ",10
52,2,2b,Which data structure would you prefer to validate parenthesis matching in the given input string and Why? Take a sample input string and trace the validation process.,10
53,2,3a,Write a C program to implement the following operations on a Circular Doubly Linked List (CDLL): i) Count the number of nodes. ii) Delete a node at the rear end. iii) Display.,10
54,2,3b,Illustrate how Stack can be used to convert given infix expressions to their postfix equivalent form. i) (a+b)*c/d^e*(f-g) ii) (a*b+(c^e))/(f*g),10
55,3,4a,"Consider a circular queue with maximum storage capacity of 5, operating on the index variables: F-front index and R-rear index. Assume that presently it has 3 elements 10, 20 and 40 inserted from its rear end and the index variables hold the values F=2 & R=4. Identify the values of the index variables at each step by performing the following operations: i) Insert 50 ii) Insert 60 iii) Insert 30 iv) Delete 10 v) Delete 2 elements sequentially and insert 70, 80, 90.  Show the operation of every step pictorially.",10
56,3,4b,How does recursion help to add the elements in an array? Write the stack trace and explain the algorithmic steps of the recursive process applied while computing the summation.,10
57,4,5a,"For a search based application most of the developers prefer non-linear representation of data. However, non-linear data can also be stored in linear data structures and data can be accessed comfortably. Explain how?",5
58,4,5b,Explain Post-Threaded Binary Tree representation in memory and its working using a graphical representation.,5
59,4,5c," By considering the given Post-order: 5, 7, 6, 12, 16, 10, 9, 20, 23, 21, 18 & In-order: 5, 6, 7, 9, 10, 12, 16, 18, 20, 21, 23 traversals. i) Construct the respective Binary Search Tree (BST). ii) For the tree obtained in the above step, write the Pre-order traversal sequence. ",10
60,5,6a,Write algorithmic steps followed by a Red-Black tree to balance itself after every insert or delete operation. Explain its important properties which will be verified every time when the tree is modified / updated.,10
61,5,6b,"Create an AVL tree using the following sequence of elements: 20, 31, 13, 15, 40, 58, 85, 67, 76. Show all intermediate steps and rotations applied while creating the tree.",10
62,5,7a,"By applying the appropriate rules, create a Red-Black tree for the given set of items: 10, 85, 15, 70, 20, 60, 30, 50.",10
63,5,7b,What is the use of splaying a Binary tree? Construct a BST of your own consisting of 6 elements and explain how splaying happen after every insert operation.,10